Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C14, C15, C2, C3, C4, C5, C6, C7, C8",0805,11,1uF,C28323
"C12, C20, C25",0805,3,10uF,C15850
C13,0805,1,4.7uF,C1779
"C16, C17",0805,2,22pF,C1804
C21,0805,1,10nF,C1710
C9,0805,1,100nF,C28233
"D1, D2, D3",D_SOD-123,3,MBR0530,C18863
D4,0805,1,LED,C2297
D5,D_SOD-882,1,RB520CS30L,C2841401
J3,HRS_FH34SRJ-24S-0.5SH_50_,1,FH34SRJ-24S-0.5SH_50_,C324726
L1,1210,1,68uH,C60541
Q1,SOT-23-3,1,BSS138LT1G,C8490
Q2,SOT-23-3,1,BSS84LT1G,C8492
"R1, R19, R2, R20, R3, R9",0805,6,10K,C17414
"R10, R12, R13, R14, R18, R7, R8",0805,7,0R,C17477
"R11, R15",0805,2,330R,C17630
R16,0805,1,220k,C17556
R4,0805,1,3R,C17660
R5,0805,1,15K,C17475
R6,0805,1,47K,C17713
"SW1, SW2",Panasonic_EVQPUL_EVQPUC,2,SW_Push,C79174
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
U2,ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,1,ST25DV64K-JFR6D3,C2654868
U3,SOT-23,1,TPS3839G25,C702201
U4,SON95P300X300X100-7N,1,LD39050PUR,C222094
U5,SOT-23,1,TPS3839G33,C485802
Y2,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,X322516MOB4SI,C5444546
