Designator,Mid X,Mid Y,Rotation,Layer
C10,68.58,-104.14,270.0,top
C11,71.12,-104.14,270.0,top
C12,96.52,-97.79,180.0,top
C13,100.33,-97.79,0.0,top
C14,44.77,-38.1,0.0,top
C15,40.64,-38.1,0.0,top
C16,44.45,-86.36,0.0,top
C17,39.37,-86.36,0.0,top
C2,76.2,-97.79,270.0,top
C20,46.99,-76.2,90.0,top
C21,44.77,-33.02,180.0,top
C25,69.215,-36.51,90.0,top
C3,96.52,-101.6,0.0,top
C4,73.66,-97.79,270.0,top
C5,80.01,-105.41,180.0,top
C6,71.12,-97.79,270.0,top
C7,68.58,-97.79,270.0,top
C8,76.2,-104.14,270.0,top
C9,73.66,-104.14,270.0,top
D1,85.09,-104.52,90.0,top
D2,92.71,-104.52,90.0,top
D3,88.9,-104.52,90.0,top
D4,33.02,-59.69,0.0,top
D5,48.895,-34.29,270.0,top
J3,57.75,-95.23,0.0,top
L1,90.17,-99.06,0.0,top
Q1,83.82,-99.06,90.0,top
Q2,71.12,-28.7075,90.0,top
R1,41.91,-26.67,0.0,top
R10,34.29,-42.8225,90.0,top
R11,33.02,-62.23,180.0,top
R12,77.47,-33.02,0.0,top
R13,87.63,-33.02,0.0,top
R14,76.2,-29.845,180.0,top
R15,52.07,-36.83,0.0,top
R16,69.215,-32.7425,90.0,top
R18,53.34,-41.275,270.0,top
R19,39.37,-96.52,0.0,top
R2,41.91,-29.21,0.0,top
R20,39.37,-99.06,0.0,top
R3,80.01,-97.79,0.0,top
R4,80.01,-100.74,180.0,top
R5,44.45,-41.91,0.0,top
R6,40.64,-41.91,0.0,top
R7,45.72,-93.98,180.0,top
R8,45.72,-96.52,180.0,top
R9,35.2025,-76.2,0.0,top
SW1,37.465,-105.41,270.0,top
SW2,45.72,-105.41,270.0,top
U1,41.91,-69.85,90.0,top
U2,81.28,-26.67,180.0,top
U3,34.61,-37.7675,90.0,top
U4,44.45,-46.99,90.0,top
U5,35.56,-54.61,270.0,top
Y2,41.91,-81.28,180.0,top
